fips,state,county,state_name,sqmi,usdaregion,region
1001,AL,Autauga County,Alabama,604.37,Southeast,Southeast
1003,AL,Baldwin County,Alabama,1633.14,Southeast,Southeast
1005,AL,Barbour County,Alabama,904.52,Southeast,Southeast
1007,AL,Bibb County,Alabama,626.17,Southeast,Southeast
1009,AL,Blount County,Alabama,650.63,Southeast,Southeast
1011,AL,Bullock County,Alabama,625.14,Southeast,Southeast
1013,AL,Butler County,Alabama,777.88,Southeast,Southeast
1015,AL,Calhoun County,Alabama,612.27,Southeast,Southeast
1017,AL,Chambers County,Alabama,603.11,Southeast,Southeast
1019,AL,Cherokee County,Alabama,599.98,Southeast,Southeast
1021,AL,Chilton County,Alabama,700.79,Southeast,Southeast
1023,AL,Choctaw County,Alabama,920.86,Southeast,Southeast
1025,AL,Clarke County,Alabama,1252.58,Southeast,Southeast
1027,AL,Clay County,Alabama,606,Southeast,Southeast
1029,AL,Cleburne County,Alabama,561.01,Southeast,Southeast
1031,AL,Coffee County,Alabama,680.5,Southeast,Southeast
1033,AL,Colbert County,Alabama,623.52,Southeast,Southeast
1035,AL,Conecuh County,Alabama,852.76,Southeast,Southeast
1037,AL,Coosa County,Alabama,666.35,Southeast,Southeast
1039,AL,Covington County,Alabama,1043.77,Southeast,Southeast
1041,AL,Crenshaw County,Alabama,610.95,Southeast,Southeast
1043,AL,Cullman County,Alabama,755.02,Southeast,Southeast
1045,AL,Dale County,Alabama,562.68,Southeast,Southeast
1047,AL,Dallas County,Alabama,993.84,Southeast,Southeast
1049,AL,DeKalb County,Alabama,778.66,Southeast,Southeast
1051,AL,Elmore County,Alabama,657.04,Southeast,Southeast
1053,AL,Escambia County,Alabama,953.14,Southeast,Southeast
1055,AL,Etowah County,Alabama,548.63,Southeast,Southeast
1057,AL,Fayette County,Alabama,629.36,Southeast,Southeast
1059,AL,Franklin County,Alabama,646.52,Southeast,Southeast
1061,AL,Geneva County,Alabama,578.95,Southeast,Southeast
1063,AL,Greene County,Alabama,659.93,Southeast,Southeast
1065,AL,Hale County,Alabama,656.5,Southeast,Southeast
1067,AL,Henry County,Alabama,568.31,Southeast,Southeast
1069,AL,Houston County,Alabama,581.68,Southeast,Southeast
1071,AL,Jackson County,Alabama,1126.79,Southeast,Southeast
1073,AL,Jefferson County,Alabama,1124.15,Southeast,Southeast
1075,AL,Lamar County,Alabama,605.47,Southeast,Southeast
1077,AL,Lauderdale County,Alabama,719.6,Southeast,Southeast
1079,AL,Lawrence County,Alabama,717.2,Southeast,Southeast
1081,AL,Lee County,Alabama,615.85,Southeast,Southeast
1083,AL,Limestone County,Alabama,607.19,Southeast,Southeast
1085,AL,Lowndes County,Alabama,725.07,Southeast,Southeast
1087,AL,Macon County,Alabama,613.21,Southeast,Southeast
1089,AL,Madison County,Alabama,812.72,Southeast,Southeast
1091,AL,Marengo County,Alabama,982.67,Southeast,Southeast
1093,AL,Marion County,Alabama,743.57,Southeast,Southeast
1095,AL,Marshall County,Alabama,623.18,Southeast,Southeast
1097,AL,Mobile County,Alabama,1250.85,Southeast,Southeast
1099,AL,Monroe County,Alabama,1034.4,Southeast,Southeast
1101,AL,Montgomery County,Alabama,799.91,Southeast,Southeast
1103,AL,Morgan County,Alabama,599.05,Southeast,Southeast
1105,AL,Perry County,Alabama,723.88,Southeast,Southeast
1107,AL,Pickens County,Alabama,890.14,Southeast,Southeast
1109,AL,Pike County,Alabama,672.97,Southeast,Southeast
1111,AL,Randolph County,Alabama,584.13,Southeast,Southeast
1113,AL,Russell County,Alabama,647.19,Southeast,Southeast
1115,AL,St. Clair County,Alabama,653.36,Southeast,Southeast
1117,AL,Shelby County,Alabama,809.49,Southeast,Southeast
1119,AL,Sumter County,Alabama,913.34,Southeast,Southeast
1121,AL,Talladega County,Alabama,760.32,Southeast,Southeast
1123,AL,Tallapoosa County,Alabama,766.26,Southeast,Southeast
1125,AL,Tuscaloosa County,Alabama,1351.24,Southeast,Southeast
1127,AL,Walker County,Alabama,805.19,Southeast,Southeast
1129,AL,Washington County,Alabama,1088.57,Southeast,Southeast
1131,AL,Wilcox County,Alabama,907.39,Southeast,Southeast
1133,AL,Winston County,Alabama,631.87,Southeast,Southeast
2013,AK,Aleutians East Borough,Alaska,7151.04,,Alaska
2016,AK,Aleutians West Census Area,Alaska,3682.18,,Alaska
2020,AK,Anchorage Municipality,Alaska,1734.36,,Alaska
2050,AK,Bethel Census Area,Alaska,42478.06,,Alaska
2060,AK,Bristol Bay Borough,Alaska,511.62,,Alaska
2063,AK,Chugach Census Area,Alaska,9998.49,,#N/A
2066,AK,Copper River Census Area,Alaska,25164.97,,#N/A
2068,AK,Denali Borough,Alaska,12666.91,,Alaska
2070,AK,Dillingham Census Area,Alaska,18985.25,,Alaska
2090,AK,Fairbanks North Star Borough,Alaska,7434.74,,Alaska
2100,AK,Haines Borough,Alaska,2407.36,,Alaska
2105,AK,Hoonah-Angoon Census Area,Alaska,6867.03,,Alaska
2110,AK,Juneau City and Borough,Alaska,2814.84,,Alaska
2122,AK,Kenai Peninsula Borough,Alaska,16432.29,,Alaska
2130,AK,Ketchikan Gateway Borough,Alaska,5166.45,,Alaska
2150,AK,Kodiak Island Borough,Alaska,7130.45,,Alaska
2158,AK,Kusilvak Census Area,Alaska,18086.37,,Alaska
2164,AK,Lake and Peninsula Borough,Alaska,26461.48,,Alaska
2170,AK,Matanuska-Susitna Borough,Alaska,24986.99,,Alaska
2180,AK,Nome Census Area,Alaska,23719.27,,Alaska
2185,AK,North Slope Borough,Alaska,90124.75,,Alaska
2188,AK,Northwest Arctic Borough,Alaska,36777.14,,Alaska
2195,AK,Petersburg Borough,Alaska,3067.72,,Alaska
2198,AK,Prince of Wales-Hyder Census Area,Alaska,5901.16,,Alaska
2220,AK,Sitka City and Borough,Alaska,3205.5,,Alaska
2230,AK,Skagway Municipality,Alaska,435.76,,Alaska
2240,AK,Southeast Fairbanks Census Area,Alaska,25116.2,,Alaska
2275,AK,Wrangell City and Borough,Alaska,2680.29,,Alaska
2282,AK,Yakutat City and Borough,Alaska,7941.88,,Alaska
2290,AK,Yukon-Koyukuk Census Area,Alaska,147914.14,,Alaska
4001,AZ,Apache County,Arizona,11219.22,Mountain States,Southwest
4003,AZ,Cochise County,Arizona,6216.57,Mountain States,Southwest
4005,AZ,Coconino County,Arizona,18661.41,Mountain States,Southwest
4007,AZ,Gila County,Arizona,4794.94,Mountain States,Southwest
4009,AZ,Graham County,Arizona,4640.21,Mountain States,Southwest
4011,AZ,Greenlee County,Arizona,1847.45,Mountain States,Southwest
4012,AZ,La Paz County,Arizona,4510.67,Mountain States,Southwest
4013,AZ,Maricopa County,Arizona,9225.99,Mountain States,Southwest
4015,AZ,Mohave County,Arizona,13460.85,Mountain States,Southwest
4017,AZ,Navajo County,Arizona,9958.69,Mountain States,Southwest
4019,AZ,Pima County,Arizona,9190.67,Mountain States,Southwest
4021,AZ,Pinal County,Arizona,5374.67,Mountain States,Southwest
4023,AZ,Santa Cruz County,Arizona,1237.43,Mountain States,Southwest
4025,AZ,Yavapai County,Arizona,8127.32,Mountain States,Southwest
4027,AZ,Yuma County,Arizona,5518.96,Mountain States,Southwest
5001,AR,Arkansas County,Arkansas,1038.74,Delta States,Southeast
5003,AR,Ashley County,Arkansas,940.42,Delta States,Southeast
5005,AR,Baxter County,Arkansas,586.71,Delta States,Southeast
5007,AR,Benton County,Arkansas,884.33,Delta States,Southeast
5009,AR,Boone County,Arkansas,602,Delta States,Southeast
5011,AR,Bradley County,Arkansas,652.84,Delta States,Southeast
5013,AR,Calhoun County,Arkansas,632.42,Delta States,Southeast
5015,AR,Carroll County,Arkansas,638.71,Delta States,Southeast
5017,AR,Chicot County,Arkansas,691.19,Delta States,Southeast
5019,AR,Clark County,Arkansas,882.95,Delta States,Southeast
5021,AR,Clay County,Arkansas,641.35,Delta States,Southeast
5023,AR,Cleburne County,Arkansas,592.14,Delta States,Southeast
5025,AR,Cleveland County,Arkansas,598.9,Delta States,Southeast
5027,AR,Columbia County,Arkansas,766.83,Delta States,Southeast
5029,AR,Conway County,Arkansas,566.5,Delta States,Southeast
5031,AR,Craighead County,Arkansas,712.69,Delta States,Southeast
5033,AR,Crawford County,Arkansas,605.89,Delta States,Southeast
5035,AR,Crittenden County,Arkansas,644.41,Delta States,Southeast
5037,AR,Cross County,Arkansas,622.26,Delta States,Southeast
5039,AR,Dallas County,Arkansas,667.99,Delta States,Southeast
5041,AR,Desha County,Arkansas,812.71,Delta States,Southeast
5043,AR,Drew County,Arkansas,835.92,Delta States,Southeast
5045,AR,Faulkner County,Arkansas,664.09,Delta States,Southeast
5047,AR,Franklin County,Arkansas,620.13,Delta States,Southeast
5049,AR,Fulton County,Arkansas,620.49,Delta States,Southeast
5051,AR,Garland County,Arkansas,734.54,Delta States,Southeast
5053,AR,Grant County,Arkansas,633,Delta States,Southeast
5055,AR,Greene County,Arkansas,579.38,Delta States,Southeast
5057,AR,Hempstead County,Arkansas,741,Delta States,Southeast
5059,AR,Hot Spring County,Arkansas,622.18,Delta States,Southeast
5061,AR,Howard County,Arkansas,595.58,Delta States,Southeast
5063,AR,Independence County,Arkansas,771.53,Delta States,Southeast
5065,AR,Izard County,Arkansas,583.88,Delta States,Southeast
5067,AR,Jackson County,Arkansas,641.44,Delta States,Southeast
5069,AR,Jefferson County,Arkansas,916.02,Delta States,Southeast
5071,AR,Johnson County,Arkansas,683.98,Delta States,Southeast
5073,AR,Lafayette County,Arkansas,546.09,Delta States,Southeast
5075,AR,Lawrence County,Arkansas,592.31,Delta States,Southeast
5077,AR,Lee County,Arkansas,622.15,Delta States,Southeast
5079,AR,Lincoln County,Arkansas,569.77,Delta States,Southeast
5081,AR,Little River County,Arkansas,563.35,Delta States,Southeast
5083,AR,Logan County,Arkansas,729.95,Delta States,Southeast
5085,AR,Lonoke County,Arkansas,803.39,Delta States,Southeast
5087,AR,Madison County,Arkansas,837.11,Delta States,Southeast
5089,AR,Marion County,Arkansas,640.26,Delta States,Southeast
5091,AR,Miller County,Arkansas,638.27,Delta States,Southeast
5093,AR,Mississippi County,Arkansas,929.98,Delta States,Southeast
5095,AR,Monroe County,Arkansas,621.26,Delta States,Southeast
5097,AR,Montgomery County,Arkansas,800.91,Delta States,Southeast
5099,AR,Nevada County,Arkansas,620.68,Delta States,Southeast
5101,AR,Newton County,Arkansas,823.36,Delta States,Southeast
5103,AR,Ouachita County,Arkansas,739.74,Delta States,Southeast
5105,AR,Perry County,Arkansas,560.81,Delta States,Southeast
5107,AR,Phillips County,Arkansas,727.41,Delta States,Southeast
5109,AR,Pike County,Arkansas,613.96,Delta States,Southeast
5111,AR,Poinsett County,Arkansas,763.66,Delta States,Southeast
5113,AR,Polk County,Arkansas,861.67,Delta States,Southeast
5115,AR,Pope County,Arkansas,830.97,Delta States,Southeast
5117,AR,Prairie County,Arkansas,675.57,Delta States,Southeast
5119,AR,Pulaski County,Arkansas,807.34,Delta States,Southeast
5121,AR,Randolph County,Arkansas,655.92,Delta States,Southeast
5123,AR,St. Francis County,Arkansas,642.51,Delta States,Southeast
5125,AR,Saline County,Arkansas,730.47,Delta States,Southeast
5127,AR,Scott County,Arkansas,898.4,Delta States,Southeast
5129,AR,Searcy County,Arkansas,668.33,Delta States,Southeast
5131,AR,Sebastian County,Arkansas,544.25,Delta States,Southeast
5133,AR,Sevier County,Arkansas,581.3,Delta States,Southeast
5135,AR,Sharp County,Arkansas,606.64,Delta States,Southeast
5137,AR,Stone County,Arkansas,609.59,Delta States,Southeast
5139,AR,Union County,Arkansas,1055.32,Delta States,Southeast
5141,AR,Van Buren County,Arkansas,723.93,Delta States,Southeast
5143,AR,Washington County,Arkansas,952.26,Delta States,Southeast
5145,AR,White County,Arkansas,1042.02,Delta States,Southeast
5147,AR,Woodruff County,Arkansas,594.1,Delta States,Southeast
5149,AR,Yell County,Arkansas,948.12,Delta States,Southeast
6001,CA,Alameda County,California,745.4,Pacific,Pacific West
6003,CA,Alpine County,California,743.19,Pacific,Pacific West
6005,CA,Amador County,California,605.95,Pacific,Pacific West
6007,CA,Butte County,California,1677.13,Pacific,Pacific West
6009,CA,Calaveras County,California,1036.92,Pacific,Pacific West
6011,CA,Colusa County,California,1156.36,Pacific,Pacific West
6013,CA,Contra Costa County,California,737.89,Pacific,Pacific West
6015,CA,Del Norte County,California,1012.74,Pacific,Pacific West
6017,CA,El Dorado County,California,1786.36,Pacific,Pacific West
6019,CA,Fresno County,California,6011.13,Pacific,Pacific West
6021,CA,Glenn County,California,1326.98,Pacific,Pacific West
6023,CA,Humboldt County,California,3584.77,Pacific,Pacific West
6025,CA,Imperial County,California,4480.66,Pacific,Pacific West
6027,CA,Inyo County,California,10227.1,Pacific,Pacific West
6029,CA,Kern County,California,8164.92,Pacific,Pacific West
