region,fips
Alaska,2013
Alaska,2016
Alaska,2020
Alaska,2050
Alaska,2060
Alaska,2068
Alaska,2070
Alaska,2090
Alaska,2100
Alaska,2105
Alaska,2110
Alaska,2122
Alaska,2130
Alaska,2150
Alaska,2158
Alaska,2164
Alaska,2170
Alaska,2180
Alaska,2185
Alaska,2188
Alaska,2195
Alaska,2198
Alaska,2220
Alaska,2230
Alaska,2240
Alaska,2275
Alaska,2282
Alaska,2290
Alaska Total,
Great Plains,19001
Great Plains,19003
Great Plains,19005
Great Plains,19007
Great Plains,19009
Great Plains,19011
Great Plains,19013
Great Plains,19015
Great Plains,19017
Great Plains,19019
Great Plains,19021
Great Plains,19023
Great Plains,19025
Great Plains,19027
Great Plains,19029
Great Plains,19031
Great Plains,19033
Great Plains,19035
Great Plains,19037
Great Plains,19039
Great Plains,19041
Great Plains,19043
Great Plains,19045
Great Plains,19047
Great Plains,19049
Great Plains,19051
Great Plains,19053
Great Plains,19055
Great Plains,19057
Great Plains,19059
Great Plains,19061
Great Plains,19063
Great Plains,19065
Great Plains,19067
Great Plains,19069
Great Plains,19071
Great Plains,19073
Great Plains,19075
Great Plains,19077
Great Plains,19079
Great Plains,19081
Great Plains,19083
Great Plains,19085
Great Plains,19087
Great Plains,19089
Great Plains,19091
Great Plains,19093
Great Plains,19095
Great Plains,19097
Great Plains,19099
Great Plains,19101
Great Plains,19103
Great Plains,19105
Great Plains,19107
Great Plains,19109
Great Plains,19111
Great Plains,19113
Great Plains,19115
Great Plains,19117
Great Plains,19119
Great Plains,19121
Great Plains,19123
Great Plains,19125
Great Plains,19127
Great Plains,19129
Great Plains,19131
Great Plains,19133
Great Plains,19135
Great Plains,19137
Great Plains,19139
Great Plains,19141
Great Plains,19143
Great Plains,19145
Great Plains,19147
Great Plains,19149
Great Plains,19151
Great Plains,19153
Great Plains,19155
Great Plains,19157
Great Plains,19159
Great Plains,19161
Great Plains,19163
Great Plains,19165
Great Plains,19167
Great Plains,19169
Great Plains,19171
Great Plains,19173
Great Plains,19175
Great Plains,19177
Great Plains,19179
Great Plains,19181
Great Plains,19183
Great Plains,19185
Great Plains,19187
Great Plains,19189
Great Plains,19191
Great Plains,19193
Great Plains,19195
Great Plains,19197
Great Plains,20001
Great Plains,20003
